date,mosquito,temp,l_temp,h_temp,rain_per_day,cum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
2016-05-27,5975,22.2,17.6,27.7,,0,2.2,9.9,48.1,12.3,11.7,22.84,29.6
2016-05-28,6949,21.2,18.2,26.3,,0,1.6,10.7,51.8,12.9,2.7,11.24,25.7
2016-05-29,6220,24.7,17.3,32.2,,0,1.7,11.5,47.3,13.7,11.8,24.43,33.7
2016-05-30,5910,23.3,20.8,28.4,,0,2.3,11.7,49.1,13.9,4.6,15.57,28
2016-05-31,5403,21.7,19.6,25.9,0.1,1,1.7,15.7,69.5,17.8,2.3,9.42,22.8
2016-06-01,6230,22.1,18.2,27.7,,0,2.3,14.9,65.9,17,11.6,20.45,31.3
2016-06-02,6029,24.1,17.8,31.3,,0,2,15,59.5,17.1,12.4,22.84,32.8
2016-06-03,9643,24.6,20.2,31.3,,0,2.2,15.9,60.9,18.1,12.1,21.74,32.6
2016-06-04,7316,23.5,20.9,26.5,3,1,1.7,18.5,74.3,21.4,0.7,7.81,25.9
2016-06-05,8140,23.5,19.9,26.7,1.5,2,2.1,19.6,79.4,22.8,3.9,10.48,25.4
2016-06-06,26441,23.5,19.4,29.6,,0,2.4,17.5,70.5,20.1,9.2,19.87,27.5
2016-06-07,15775,23.8,19.7,29.5,,0,2.1,15.9,62.5,18.1,7.8,19.48,31.8
2016-06-08,6958,20.9,17.4,24.5,15.5,1,2.7,17.5,81.8,20,1.9,7.05,20.8
2016-06-09,7232,20.9,18.6,24.9,,0,2.8,15.8,73.5,18,7,13.83,22.4
2016-06-10,6237,23.8,18.6,29.1,,0,2.5,15.9,63.1,18.1,12,22.38,28.6
2016-06-11,5676,24.5,20.1,29.9,,0,1.8,15.3,58,17.4,12.5,22.46,31.4
