loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
112,인천,2015-04-29,15.5,11.74285714,19.75714286,1.5,1.5,3.014285714,8.171428571,65.34285714,11.5,9.214285714,17.87,16.74285714
112,인천,2015-04-30,16.51428571,12.77142857,20.87142857,0,0,2.9,9.471428571,66.77142857,12.65714286,9.514285714,17.94,17.61428571
112,인천,2015-05-01,17.05714286,13.44285714,21.37142857,0,0,2.8,10.65714286,69.82857143,13.67142857,9.571428571,17.95428571,18.15714286
112,인천,2015-05-02,17.7,14.02857143,22.2,0.3,0.3,2.671428571,12.62857143,75.64285714,15.24285714,8.9,17.00285714,18.71428571
112,인천,2015-05-03,17.94285714,14.42857143,22.05714286,2.2,2.5,2.542857143,14.38571429,82.24285714,16.71428571,7.3,14.75857143,19.12857143
112,인천,2015-05-04,17.75714286,14.24285714,21.8,0,0,2.8,13.78571429,81.12857143,16.34285714,7.428571429,15.05714286,19.48571429
112,인천,2015-05-05,16.91428571,13.67142857,20.78571429,0,0,2.9,13.01428571,81.27142857,15.72857143,8.185714286,16.28,19.45714286
112,인천,2015-05-06,16.54285714,13,20.92857143,0,0,2.771428571,11.5,76.08571429,14.44285714,9.057142857,17.70571429,19.7
112,인천,2015-05-07,15.88571429,12.35714286,20.4,0,0,2.742857143,10.57142857,75.18571429,13.58571429,8.657142857,17.31,19.35714286
112,인천,2015-05-08,15.42857143,11.98571429,19.82857143,0,0,2.728571429,10.25714286,75.85714286,13.25714286,7.1,15.95714286,18.78571429
112,인천,2015-05-09,15.02857143,11.75714286,19.12857143,0,0,2.857142857,9.785714286,75.27142857,12.74285714,7.557142857,16.77428571,19.01428571
112,인천,2015-05-10,14.95714286,11.52857143,19.34285714,0,0,2.8,8.628571429,70.21428571,11.6,9.242857143,19.33285714,19.78571429
112,인천,2015-05-11,15.32857143,11.78571429,19.97142857,20.3,20.3,2.742857143,9.671428571,72.51428571,12.4,7.828571429,17.73571429,19.88571429
112,인천,2015-05-12,15.27142857,11.84285714,19.78571429,3.6,23.9,3.157142857,10.67142857,77.55714286,13.15714286,6.771428571,16.34857143,19.45714286
112,인천,2015-05-13,15.51428571,12.02857143,19.72857143,0,0,3.442857143,11.74285714,81.02857143,13.97142857,7.628571429,17.25142857,19.54285714
112,인천,2015-05-14,15.97142857,12.64285714,20,0,0,3.7,12.77142857,83.37142857,14.97142857,7.657142857,17.39285714,19.67142857
112,인천,2015-05-15,16.28571429,13.01428571,20.32857143,0,0,3.742857143,13.05714286,83.35714286,15.34285714,8.1,17.28857143,19.82857143
112,인천,2015-05-16,16.44285714,13.12857143,20.77142857,0,0,3.814285714,12.58571429,80.57142857,14.95714286,8.485714286,17.78571429,19.47142857
112,인천,2015-05-17,16.5,13.01428571,21,0,0,3.857142857,12.64285714,80.54285714,15,8.571428571,17.56142857,18.92857143
112,인천,2015-05-18,16.37142857,13.04285714,20.55714286,0,0,3.642857143,12.51428571,80.68571429,14.88571429,8.585714286,17.73285714,18.72857143
112,인천,2015-05-19,16.51428571,13.25714286,20.44285714,2,2,3.228571429,12.7,81,15.07142857,7.814285714,16.18857143,18.7
112,인천,2015-05-20,16.44285714,13.02857143,20.52857143,0,0,3.042857143,12.45714286,80.25714286,15.08333333,7.857142857,16.51428571,18.81428571
112,인천,2015-05-21,16.22857143,12.75714286,20.35714286,0,0,2.914285714,11.88571429,78.42857143,14.35,8.3,17.17857143,19.04285714
112,인천,2015-05-22,16.28571429,12.72857143,20.38571429,0,0,3.028571429,11.58571429,76.51428571,13.9,9.528571429,18.88857143,19.51428571
112,인천,2015-05-23,16.64285714,12.85714286,20.85714286,0,0,2.871428571,11.88571429,76.72857143,14.18333333,9.442857143,18.71142857,20.21428571
112,인천,2015-05-24,16.84285714,13.25714286,21.05714286,0,0,2.857142857,12.25714286,77.65714286,14.56666667,9.6,19.30571429,20.95714286
112,인천,2015-05-25,16.84285714,13.22857143,21.24285714,0,0,2.842857143,12.68571429,79.58571429,15,11.08571429,20.82142857,21.78571429
112,인천,2015-05-26,17.34285714,13.45714286,22.41428571,0,0,2.728571429,12.91428571,78.14285714,15.26666667,13.01428571,23.90285714,23.12857143
112,인천,2015-05-27,18,13.7,23.58571429,0,0,2.5,12.88571429,76,15,13.1,23.97,24.08571429
112,인천,2015-05-28,18.77142857,14.25714286,24.42857143,0,0,2.385714286,12.77142857,72.82857143,14.92857143,13.18571429,23.79,24.65714286
112,인천,2015-05-29,19.35714286,14.7,25,0,0,2.242857143,13.14285714,71.94285714,15.32857143,12.54285714,22.98428571,25.07142857
112,인천,2015-05-30,19.14285714,14.94285714,24.3,1.7,1.7,2.314285714,13.98571429,76.62857143,16.21428571,11.37142857,21.16857143,24.48571429
112,인천,2015-05-31,19.22857143,14.88571429,24.37142857,0,0,2.271428571,14.5,78.25714286,16.72857143,11.28571429,20.86857143,24.65714286
112,인천,2015-06-01,19.61428571,15.02857143,24.67142857,0,0,2.2,14.38571429,76.07142857,16.62857143,11.12857143,20.32,24.58571429
112,인천,2015-06-02,20.17142857,15.67142857,24.98571429,0,0,2.2,14.48571429,73.94285714,16.74285714,10.91428571,19.74571429,24.74285714
112,인천,2015-06-03,20.42857143,16.4,24.91428571,0,0,2.714285714,14.5,72.64285714,16.74285714,10.94285714,19.77142857,24.94285714
112,인천,2015-06-04,20.31428571,16.37142857,24.72857143,0,0,2.685714286,14.77142857,73.77142857,16.98571429,10.55714286,19.75857143,25.18571429
112,인천,2015-06-05,20,16.34285714,24.14285714,0.4,0.4,2.714285714,14.55714286,74.07142857,16.75714286,9.571428571,18.31714286,24.48571429
112,인천,2015-06-06,20.48571429,16.5,24.9,0,0,2.771428571,14.11428571,69.64285714,16.24285714,10.52857143,19.88142857,25.41428571
